B	carretera	C000453	3
B	c_villar	C000233	20
F	higuerica	C000141	6
F	tarrosa	C000171	7.7
F	ramblagabacho	C000218	3.3
F	panderon	C000329	120
F	mojon	C000340	29
F	lalosa	C000356	5
F	corralquemao	C000606	6
F	villaricos	C000621	6
I	clochas	C000670	29
